105,Van,Volkswagen,Caddy,12.0,51MH123,8.0,2021,4,10,15215,10.0,15.0,120.0
106,Van,Volkswagen,Caddy,12.0,151MH124,8.0,2021,5,10,13523,10.0,15.0,120.0
107,Van,Volkswagen,Caddy,12.0,151MH125,8.0,2021,6,10,13413,10.0,15.0,120.0
108,Van,Volkswagen,Caddy,12.0,151MH126,8.0,2021,7,10,14314,10.0,15.0,120.0
109,Van,Volkswagen,Caddy,12.0,151MH127,8.0,2021,8,10,13413,10.0,15.0,120.0
110,Van,Volkswagen,Transporter,15.0,161LH434,8.0,2021,9,12,13131,10.0,15.0,120.0
111,Van,Volkswagen,Transporter,15.0,161LH435,8.0,2021,10,12,12850,10.0,15.0,120.0
112,Van,Volkswagen,Transporter,15.0,161LH436,8.0,2021,11,12,12569,10.0,15.0,120.0
113,Van,Volkswagen,Transporter,15.0,161LH437,8.0,2021,12,12,12287,10.0,15.0,120.0
115,4x4,Toyota,Land Cruiser,8.0,171D1232,8.0,2020,7,12,15725,10.0,15.0,5
116,4x4,Toyota,Land Cruiser,8.0,171D1233,8.0,2020,7,12,150000,10.0,15.0,5
117,4x4,Toyota,Land Cruiser,8.0,171D1234,8.0,2020,7,12,150000,10.0,15.0,5
118,4x4,Toyota,Land Cruiser,8.0,171D1235,8.0,2020,7,12,150000,10.0,15.0,5
119,4x4,Land Rover,Discovery,10.0,211MN634,8.0,2020,7,12,150000,10.0,15.0,6
120,4x4,Land Rover,Discovery,10.0,11MN635,8.0,2020,7,12,150000,10.0,15.0,6
121,4x4,Land Rover,Discovery,10.0,211MN636,8.0,2020,7,12,150000,10.0,15.0,6
122,4x4,Land Rover,Discovery,10.0,211MN637,8.0,2020,7,12,150000,10.0,15.0,6
123,4x4,Land Rover,Discovery,10.0,211MN638,8.0,2020,7,12,12341,10.0,15.0,6
124,Truck,Ford,Ranger,15.0,191T151,8.0,2020,7,12,12341,10.0,15.0,6.0
125,Truck,Ford,Ranger,15.0,191T152,8.0,2020,7,12,12341,10.0,15.0,6.0
126,Truck,Ford,Ranger,15.0,191T153,8.0,2020,7,12,12341,10.0,15.0,6.0
127,Truck,Ford,Ranger,15.0,191T154,8.0,2020,7,12,12341,10.0,15.0,5.0
128,Truck,Ford,Ranger,15.0,191T155,8.0,2020,7,12,12341,13.0,18.0,5.0
129,Truck,Nissan,Navara,13.0,182O521,8.0,2021,2,1,12341,13.0,18.0,5.0
130,Truck,Nissan,Navara,13.0,182O522,8.0,2021,2,2,63443,13.0,18.0,5.0
131,Truck,Nissan,Navara,13.0,182O523,8.0,2021,2,3,63443,13.0,18.0,5.0
132,Truck,Nissan,Navara,13.0,182O524,8.0,2021,2,4,63443,13.0,18.0,5.0
133,Truck,Nissan,Navara,13.0,182O525,10.0,2021,2,5,63443,13.0,18.0,5.0
134,Car,Toyota,Prius,8.0,172W743,10.0,2021,2,6,63443,13.0,18.0,5
135,Car,Toyota,Prius,8.0,172W744,10.0,2021,2,7,65326,13.0,18.0,5
136,Car,Toyota,Prius,8.0,172W745,10.0,2021,2,8,65326,13.0,18.0,5
137,Car,Toyota,Prius,8.0,72W746,10.0,2021,10,9,65326,13.0,18.0,5
138,Car,Toyota,Prius,8.0,172W747,10.0,2021,1,10,65326,13.0,18.0,5
139,Car,Toyota,Prius,8.0,172W748,10.0,2021,1,11,65326,13.0,18.0,5
140,Car,Toyota,Prius,8.0,72W749,10.0,2021,1,12,65326,13.0,18.0,5
141,Car,Toyota,Prius,8.0,172W750,10.0,2021,10,13,65326,13.0,18.0,5
142,Car,Toyota,Prius,8.0,172W751,10.0,2021,1,14,65326,13.0,18.0,5
143,Car,Toyota,Prius,8.0,172W752,10.0,2021,1,15,65326,13.0,18.0,5
